timepoint model testSet accuracy precision recall AUC_macro AUC_micro
1.0 random 0 0.425274725275 0.633696540639 0.425274725275 0.499547197996 0.563767761542
1.0 random 1 0.0573964497041 0.00652085054046 0.0573964497041 0.493618128094 0.504351855094
1.0 random 2 0.422485207101 0.653881456875 0.422485207101 0.49720815426 0.554896887364
1.0 random 3 0.0597633136095 0.00666103127642 0.0597633136095 0.501430857382 0.501588413104
1.0 random 4 0.0668639053254 0.0092422152941 0.0668639053254 0.504765545392 0.503020435792
1.0 random 5 0.398816568047 0.583178247571 0.398816568047 0.494423786586 0.547403218842
1.0 random 6 0.407692307692 0.574103143297 0.407692307692 0.479994678743 0.482864395504
1.0 random 7 0.0680473372781 0.0103147531202 0.0680473372781 0.486805066061 0.492094114352
1.0 random 8 0.0668639053254 0.00851126191363 0.0668639053254 0.502797806244 0.500239720831
1.0 random 9 0.0680473372781 0.00851423581396 0.0680473372781 0.517287190544 0.507420841941
1.0 past 0 0.795604395604 0.745547518442 0.795604395604 0.69559148093 0.862939359176
1.0 past 1 0.823076923077 0.788674824421 0.823076923077 0.707526060179 0.861277849748
1.0 past 2 0.801775147929 0.764859386254 0.801775147929 0.702820007265 0.849337791627
1.0 past 3 0.798224852071 0.759164874374 0.798224852071 0.625890845449 0.840559037382
1.0 past 4 0.804142011834 0.742697565571 0.804142011834 0.661972791747 0.871178180036
1.0 past 5 0.780473372781 0.69797467819 0.780473372781 0.652637506956 0.867326307436
1.0 past 6 0.785207100592 0.684974548219 0.785207100592 0.602060666314 0.867806449354
1.0 past 7 0.777514792899 0.701220250494 0.777514792899 0.654531403775 0.843233546911
1.0 past 8 0.805325443787 0.757948790757 0.805325443787 0.703039427054 0.870459484378
1.0 past 9 0.787573964497 0.744893371562 0.787573964497 0.67115088822 0.856050091617
1.0 base 0 0.793956043956 0.755735339861 0.793956043956 0.566977162624 0.849370547035
1.0 base 1 0.823668639053 0.800446015404 0.823668639053 0.581618757152 0.864973973834
1.0 base 2 0.787573964497 0.771390081722 0.787573964497 0.565954041934 0.837183455295
1.0 base 3 0.808284023669 0.777897639272 0.808284023669 0.539305518587 0.847601916366
1.0 base 4 0.803550295858 0.769329945012 0.803550295858 0.602377956865 0.854458352299
1.0 base 5 0.766863905325 0.713520531087 0.766863905325 0.554570046762 0.831075359173
1.0 base 6 0.779289940828 0.717260695831 0.779289940828 0.562890067891 0.847433329832
1.0 base 7 0.772781065089 0.720551814523 0.772781065089 0.583645932584 0.839020517489
1.0 base 8 0.801775147929 0.76996935998 0.801775147929 0.563956964033 0.847884527853
1.0 base 9 0.799408284024 0.759261797348 0.799408284024 0.535012385944 0.842524363059
1.0 networkOnly 0 0.8 0.771733703692 0.8 0.732731239887 0.901798796442
1.0 networkOnly 1 0.808284023669 0.792628125907 0.808284023669 0.716065604178 0.900122719793
1.0 networkOnly 2 0.797633136095 0.765519921657 0.797633136095 0.703376339016 0.889741897459
1.0 networkOnly 3 0.813017751479 0.781129219273 0.813017751479 0.677331161088 0.892523195967
1.0 networkOnly 4 0.803550295858 0.77669059721 0.803550295858 0.747386985999 0.905533478053
1.0 networkOnly 5 0.779289940828 0.745632811107 0.779289940828 0.713388383367 0.882113021253
1.0 networkOnly 6 0.752662721893 0.666633555175 0.752662721893 0.600358843843 0.852457547005
1.0 networkOnly 7 0.769822485207 0.706275469039 0.769822485207 0.620660861415 0.857859085233
1.0 networkOnly 8 0.803550295858 0.773925152669 0.803550295858 0.726457907666 0.896467268886
1.0 networkOnly 9 0.771597633136 0.740804986586 0.771597633136 0.698425734866 0.882002672642
1.0 network 0 0.818131868132 0.785535577167 0.818131868132 0.789972351113 0.924406875176
1.0 network 1 0.833727810651 0.811109278795 0.833727810651 0.789865472666 0.9308445666
1.0 network 2 0.807100591716 0.772243572088 0.807100591716 0.762631895491 0.912392890072
1.0 network 3 0.822485207101 0.791695067818 0.822485207101 0.720849542074 0.908181494579
1.0 network 4 0.814792899408 0.785250017075 0.814792899408 0.798239933397 0.923746250715
1.0 network 5 0.789940828402 0.752251237984 0.789940828402 0.756388577499 0.901522647433
1.0 network 6 0.773964497041 0.704580273398 0.773964497041 0.655561642623 0.874760337523
1.0 network 7 0.8 0.747577132957 0.8 0.711902272515 0.894664227443
1.0 network 8 0.81775147929 0.778962573727 0.81775147929 0.757822197539 0.919608615478
1.0 network 9 0.803550295858 0.763028166527 0.803550295858 0.759680392457 0.915412567254
1.0 time 0 0.82032967033 0.789975557198 0.82032967033 0.676502588699 0.889368031236
1.0 time 1 0.837278106509 0.813020135726 0.837278106509 0.672339091748 0.899079163895
1.0 time 2 0.811834319527 0.782445587645 0.811834319527 0.633225752844 0.876818388712
1.0 time 3 0.812426035503 0.777077580539 0.812426035503 0.576258766185 0.867104851604
1.0 time 4 0.805325443787 0.767795640397 0.805325443787 0.614255954719 0.866879019175
1.0 time 5 0.781065088757 0.730483558993 0.781065088757 0.601705766971 0.857507731989
1.0 time 6 0.784023668639 0.719045316856 0.784023668639 0.589018992367 0.86305504009
1.0 time 7 0.781065088757 0.727045399181 0.781065088757 0.631606249064 0.863593945123
1.0 time 8 0.817159763314 0.774331202622 0.817159763314 0.629954711693 0.882509599337
1.0 time 9 0.8 0.75637717416 0.8 0.597046405384 0.865871059603
1.0 social 0 0.808241758242 0.75657731511 0.808241758242 0.632575624351 0.88664971018
1.0 social 1 0.84674556213 0.812672218314 0.84674556213 0.666490400795 0.907929986112
1.0 social 2 0.81124260355 0.780759225445 0.81124260355 0.650210768731 0.889178425125
1.0 social 3 0.811834319527 0.78078456006 0.811834319527 0.620897959667 0.887658637069
1.0 social 4 0.807100591716 0.755913243864 0.807100591716 0.626179727449 0.881447369957
1.0 social 5 0.784615384615 0.737416282628 0.784615384615 0.641477863796 0.875901462367
1.0 social 6 0.786390532544 0.723628567602 0.786390532544 0.59537743751 0.870042540527
1.0 social 7 0.784023668639 0.724981380806 0.784023668639 0.618471865272 0.866134063933
1.0 social 8 0.814201183432 0.768264658218 0.814201183432 0.649550535687 0.891566646826
1.0 social 9 0.805917159763 0.75806333961 0.805917159763 0.592383035585 0.870507276823
1.0 place 0 0.802197802198 0.759941342409 0.802197802198 0.609128164488 0.868726703699
1.0 place 1 0.82426035503 0.78928693014 0.82426035503 0.624026756859 0.888203027438
1.0 place 2 0.804142011834 0.778943973429 0.804142011834 0.638084101444 0.875689168213
1.0 place 3 0.80650887574 0.77586420118 0.80650887574 0.601610943157 0.876888997818
1.0 place 4 0.791124260355 0.753659498642 0.791124260355 0.609203643171 0.863048446016
1.0 place 5 0.769822485207 0.72346917465 0.769822485207 0.606956494191 0.85058156227
1.0 place 6 0.780473372781 0.71068225876 0.780473372781 0.581391614092 0.860468179219
1.0 place 7 0.772189349112 0.715823822612 0.772189349112 0.612173625129 0.856398585484
1.0 place 8 0.807100591716 0.768839678377 0.807100591716 0.597101101705 0.868898031115
1.0 place 9 0.783431952663 0.743699715643 0.783431952663 0.5871401087 0.860745830561
1.0 timeSocialPlace 0 0.812087912088 0.760458312614 0.812087912088 0.685576454182 0.906914321942
1.0 timeSocialPlace 1 0.837869822485 0.798364136775 0.837869822485 0.7191676013 0.921203622656
1.0 timeSocialPlace 2 0.829585798817 0.79429739641 0.829585798817 0.687388287327 0.911534026586
1.0 timeSocialPlace 3 0.824852071006 0.784744397488 0.824852071006 0.655899034295 0.905673179044
1.0 timeSocialPlace 4 0.810650887574 0.761108791311 0.810650887574 0.679161738771 0.902261358729
1.0 timeSocialPlace 5 0.784615384615 0.729371932085 0.784615384615 0.656694811166 0.886812261475
1.0 timeSocialPlace 6 0.794082840237 0.736583272486 0.794082840237 0.624070452449 0.881580768647
1.0 timeSocialPlace 7 0.789349112426 0.729629635738 0.789349112426 0.666123884606 0.8875154348
1.0 timeSocialPlace 8 0.825443786982 0.775624520743 0.825443786982 0.685775660856 0.91035357072
1.0 timeSocialPlace 9 0.805917159763 0.757124445243 0.805917159763 0.659069256139 0.893670623111
1.0 full 0 0.827472527473 0.786482088069 0.827472527473 0.821969978677 0.940760677052
1.0 full 1 0.85325443787 0.81946227903 0.85325443787 0.82818712582 0.946770946395
1.0 full 2 0.834911242604 0.79723374985 0.834911242604 0.79462737477 0.93561103136
1.0 full 3 0.831360946746 0.800241344007 0.831360946746 0.74803216003 0.923264241448
