timepoint model testSet feature importance
1.0 network 8 PA 0.0814455737942
1.0 network 8 propScores 0.389744235199
1.0 network 8 resourceAllocation 0.046834452674
1.0 network 9 timeSpent 0.326717812999
1.0 network 9 friends 0.0648817774266
1.0 network 9 jaccard 0.048201026502
1.0 network 9 adamicAdar 0.0449078551008
1.0 network 9 PA 0.0803887211836
1.0 network 9 propScores 0.385563642103
1.0 network 9 resourceAllocation 0.049339164685
1.0 time 0 timeSpent 0.491123709482
1.0 time 0 friends 0.117029837924
1.0 time 0 metAtHourOfTheWeek 0.147076824107
1.0 time 0 metAtDayOfTheWeek 0.0612945952205
1.0 time 0 metAtHourOfTheDay 0.183475033266
1.0 time 1 timeSpent 0.492264596335
1.0 time 1 friends 0.112504713843
1.0 time 1 metAtHourOfTheWeek 0.150568932692
1.0 time 1 metAtDayOfTheWeek 0.0605810908365
1.0 time 1 metAtHourOfTheDay 0.184080666293
1.0 time 2 timeSpent 0.489270938021
1.0 time 2 friends 0.116616398125
1.0 time 2 metAtHourOfTheWeek 0.150095639375
1.0 time 2 metAtDayOfTheWeek 0.0610229207262
1.0 time 2 metAtHourOfTheDay 0.182994103753
1.0 time 3 timeSpent 0.477330487015
1.0 time 3 friends 0.119764161781
1.0 time 3 metAtHourOfTheWeek 0.153544778545
1.0 time 3 metAtDayOfTheWeek 0.0620546037183
1.0 time 3 metAtHourOfTheDay 0.18730596894
1.0 time 4 timeSpent 0.4838586113
1.0 time 4 friends 0.118831150482
1.0 time 4 metAtHourOfTheWeek 0.149167682888
1.0 time 4 metAtDayOfTheWeek 0.0633001387771
1.0 time 4 metAtHourOfTheDay 0.184842416553
1.0 time 5 timeSpent 0.480599887613
1.0 time 5 friends 0.117049564673
1.0 time 5 metAtHourOfTheWeek 0.151714763656
1.0 time 5 metAtDayOfTheWeek 0.0615107856436
1.0 time 5 metAtHourOfTheDay 0.189124998414
1.0 time 6 timeSpent 0.484034580011
1.0 time 6 friends 0.117507332132
1.0 time 6 metAtHourOfTheWeek 0.149191534302
1.0 time 6 metAtDayOfTheWeek 0.0619341320308
1.0 time 6 metAtHourOfTheDay 0.187332421524
1.0 time 7 timeSpent 0.490449542617
1.0 time 7 friends 0.115876644376
1.0 time 7 metAtHourOfTheWeek 0.145305680066
1.0 time 7 metAtDayOfTheWeek 0.0628599542608
1.0 time 7 metAtHourOfTheDay 0.18550817868
1.0 time 8 timeSpent 0.486949777699
1.0 time 8 friends 0.11991551587
1.0 time 8 metAtHourOfTheWeek 0.150079349498
1.0 time 8 metAtDayOfTheWeek 0.060886325538
1.0 time 8 metAtHourOfTheDay 0.182169031395
1.0 time 9 timeSpent 0.484892762662
1.0 time 9 friends 0.120514034596
1.0 time 9 metAtHourOfTheWeek 0.150596728435
1.0 time 9 metAtDayOfTheWeek 0.0617198769833
1.0 time 9 metAtHourOfTheDay 0.182276597324
1.0 social 0 timeSpent 0.350615309607
1.0 social 0 friends 0.0858059043482
1.0 social 0 spatialTriadicClosure 0.269942629998
1.0 social 0 candidatesSpatialTriadicClosure 0.000524067544997
1.0 social 0 numberOfPeople 0.293112088502
1.0 social 1 timeSpent 0.356560783161
1.0 social 1 friends 0.0852971773187
1.0 social 1 spatialTriadicClosure 0.266031727922
1.0 social 1 candidatesSpatialTriadicClosure 0.000925607468191
1.0 social 1 numberOfPeople 0.29118470413
1.0 social 2 timeSpent 0.356496466286
1.0 social 2 friends 0.0833223153333
1.0 social 2 spatialTriadicClosure 0.268470577512
1.0 social 2 candidatesSpatialTriadicClosure 0.000822318616681
1.0 social 2 numberOfPeople 0.290888322252
1.0 social 3 timeSpent 0.350294727459
1.0 social 3 friends 0.091227955972
1.0 social 3 spatialTriadicClosure 0.267188602564
1.0 social 3 candidatesSpatialTriadicClosure 0.000890894103483
1.0 social 3 numberOfPeople 0.290397819901
1.0 social 4 timeSpent 0.351575881346
1.0 social 4 friends 0.0895928551738
1.0 social 4 spatialTriadicClosure 0.2689569218
1.0 social 4 candidatesSpatialTriadicClosure 0.000923323183752
1.0 social 4 numberOfPeople 0.288951018496
1.0 social 5 timeSpent 0.352938973808
1.0 social 5 friends 0.0872323481536
1.0 social 5 spatialTriadicClosure 0.272411847897
1.0 social 5 candidatesSpatialTriadicClosure 0.000871527127821
1.0 social 5 numberOfPeople 0.286545303013
1.0 social 6 timeSpent 0.354856098971
1.0 social 6 friends 0.0854922984335
1.0 social 6 spatialTriadicClosure 0.267098521992
1.0 social 6 candidatesSpatialTriadicClosure 0.000846370051814
1.0 social 6 numberOfPeople 0.291706710551
1.0 social 7 timeSpent 0.354603114091
1.0 social 7 friends 0.0889477902506
1.0 social 7 spatialTriadicClosure 0.26605059746
1.0 social 7 candidatesSpatialTriadicClosure 0.000813141411826
1.0 social 7 numberOfPeople 0.289585356787
1.0 social 8 timeSpent 0.352040531677
1.0 social 8 friends 0.0936006655535
1.0 social 8 spatialTriadicClosure 0.265970288023
1.0 social 8 candidatesSpatialTriadicClosure 0.00090630654574
1.0 social 8 numberOfPeople 0.2874822082
1.0 social 9 timeSpent 0.35462659895
1.0 social 9 friends 0.0879674159119
1.0 social 9 spatialTriadicClosure 0.269958076633
1.0 social 9 candidatesSpatialTriadicClosure 0.000457494911437
1.0 social 9 numberOfPeople 0.286990413594
1.0 place 0 timeSpent 0.456980629618
1.0 place 0 friends 0.113077987867
1.0 place 0 metAtHome 0.0286791555584
1.0 place 0 metAtUniversity 0.100031101894
1.0 place 0 metAtThirdPlace 0.0122755630007
1.0 place 0 metAtOtherPlace 0.0220904184661
1.0 place 0 timeSpentAtHomeWith 0.0357007355229
1.0 place 0 timeSpentAtUniversityWith 0.21947237361
1.0 place 0 timeSpentAtThirdPlaceWith 0.00619580960977
1.0 place 0 timeSpentAtOtherPlaceWith 0.00549622485335
1.0 place 1 timeSpent 0.469162870242
1.0 place 1 friends 0.112511751896
